cod_ide,Cargo,Y,nEntidades_competencia,nDesem_ult_semana,cero_cuotas,nPorcentaje_cero_cuotas_ope,nPorcentaje_sal_cero_cuo,Amonestacion,nAmonestacion_suspension,nvarsaldocapital,herencia,nporcentaje_Herencia,nOperaciones,nProbMoraNoHeredada,nProbMoraHeredada,nRatio_crec_deuda,Edad,Clasificacion_Asesor_Urb_Rur,Genero,EstadoCivil,Estado_Civil_Sexo,nProductividad,nProductividad_dic,antiguedad,ingresoef,pregunta_1,pregunta_2,pregunta_3,pregunta_4,pregunta_5,pregunta_6,pregunta_7,pregunta_8,pregunta_9,pregunta_10,pregunta_11,pregunta_12,pregunta_13,pregunta_14,pregunta_15,pregunta_16,pregunta_17,pregunta_18,pregunta_19,pregunta_20,pregunta_21,pregunta_22,pregunta_23,pregunta_24,pregunta_25,pregunta_26,pregunta_27,pregunta_28,pregunta_29,pregunta_30
C00000001,ASESOR COMERCIAL FUNCIONARIO,1,1,0.256353795501721,si,0.0,0.0,no,no,0.0135610129408123,si,0.380552319781535,20,bueno,malo,0.88067685448439,36,U,Masculino,Soltero,M_Soltero,0.823076923076923,bueno,116,NO,0.21043288602587717,0.014503174211020875,0.5807067806092486,0.4754606956479789,0.19199048898795212,0.20815732877514947,0.007626411369475838,0.8534588800811088,0.767800578722635,0.6636503021139826,0.9529959206719567,0.4220855308392183,0.8098016003293566,0.8476745203932584,0.27796677562460914,0.4456968211498131,0.4851779288926358,0.7548651990864552,0.4284403715903857,0.8409237575747799,0.1554401658113581,0.9333870634204872,0.3527603473611297,0.5543335000733959,0.24058053475816077,0.7087084239331922,0.20799718317214888,0.5247952430861759,0.9966611923065468,0.856283567467121
C00000002,ASESOR COMERCIAL MASTER,1,0,0.406922132678657,si,0.00196850393700787,0.00014132454199712,no,no,0.0428658641137106,si,0.444053919661975,24,malo,malo,2.06151203263729,46,U,Femenino,Otros,otros,0.75,bueno,16,NO,0.7890443978603788,0.34300131200993544,0.05820749359866717,0.9260259377535454,0.8715002901391964,0.9399683963922082,0.9289999228327279,0.11879091415190901,0.014260363140966792,0.6632774658451419,0.8086062438800071,0.6548542747452397,0.16423381195623632,0.09651153704501181,0.9611738527045366,0.018306587471926483,0.9117062111283987,0.7088736898704362,0.37109557977676133,0.38178307499402375,0.7793811428557104,0.9294191627251807,0.06909025310714767,0.2962346752284749,0.7817983136244454,0.28340526046015657,0.10635491530674368,0.6490869148564812,0.8704443671890684,0.953863557890209
C00000003,ASESOR COMERCIAL MASTER,0,5,0.32191145984981,si,0.0,0.0,no,no,-0.00580066329407357,si,0.0206124556117422,22,malo,bueno,0.668891518808236,58,U,Femenino,Casado,Casado,0.827302631578947,bueno,140,NO,0.24283811586124382,0.5289687937656777,0.7164951171054434,0.48948848782097465,0.28680652463094003,0.5287508185304548,0.5012229272881386,0.03659798839314321,0.3886205079286621,0.10892765995743336,0.8712129022782933,0.1349241844556225,0.05243648221283237,0.5916812979827356,0.4891135391645981,0.47890764589123247,0.8273810203929598,0.9077971863931913,0.35990908556834356,0.8692840622147869,0.4445179764396734,0.6633854903550088,0.10252706007075563,0.8670335343401555,0.3561405576413488,0.8067368611020305,0.2721910788638695,0.8894854962032334,0.5919028802711971,0.6145295181623659
C00000004,ASESOR COMERCIAL FUNCIONARIO,0,3,0.294113527681626,si,0.00879125125589304,0.0154524851600807,no,no,0.0181105792881852,si,0.300312715603968,26,bueno,malo,0.72276663452928,34,U,Femenino,Soltero,F_Soltero,1.1,bueno,10,NO,0.7618302248860451,0.49481161291412334,0.32139053949268326,0.52419731237624,0.6453029264691408,0.03589275060038222,0.9093518974567376,0.005752943284927814,0.6029784598780151,0.48763235581517783,0.3854272965137695,0.7019042824267498,0.9337762753328042,0.49422769106530695,0.6789510223114027,0.33069272664244054,0.6035475049593629,0.337379404900214,0.040842594661725684,0.7061970327913917,0.9294613866482918,0.9928350541039317,0.045156928372469096,0.24914709030740545,0.4628221414736624,0.5545949691024135,0.9994516868508723,0.47471051952904575,0.35004884304854156,0.9822067831154994
C00000005,ASESOR COMERCIAL FUNCIONARIO,1,2,0.315330596147563,no,0.0,0.0,no,no,0.00486467507678927,si,0.151475360014677,26,malo,bueno,0.0,36,U,Femenino,Soltero,F_Soltero,0.90625,bueno,119,NO,0.945418315707755,0.833204108254504,0.6019209316059911,0.8579948180482415,0.9261107781183202,0.9138151046330947,0.6097262321151691,0.9908921191553668,0.3836250830972596,0.9032629796908715,0.620596479143838,0.24764268575441217,0.829599849268888,0.5196803739486447,0.8012215009458454,0.7675201326838155,0.11233958864732196,0.11032089477675078,0.44875694315159453,0.8397255034017641,0.3862673312140332,0.5952189256777878,0.9051475086321549,0.0033616426809579547,0.8238337947527891,0.6841742031715721,0.459147681782226,0.8220552982289239,0.0987484719047057,0.12137550423225818
C00000006,ASESOR COMERCIAL MASTER,1,5,0.351644893013456,si,0.00447429532351057,0.00126024077256041,no,no,0.0199092761819507,si,0.402010488320094,21,bueno,malo,1.31151103458194,43,U,Femenino,Soltero,F_Soltero,0.94,bueno,113,NO,0.4697959609837997,0.8743468234983327,0.6139856206911816,0.9752136397241264,0.4342957767294515,0.9762128783681694,0.5653992363405866,0.018879985430311552,0.23036558355002668,0.9352613457964032,0.19673957334463255,0.97824841418407,0.7793766556167852,0.735198466969196,0.9165996566760769,0.5191792584761206,0.472982355614625,0.3001829615937984,0.03817553526259432,0.44920819556510205,0.5765447874640411,0.47983863710560615,0.10217305293102652,0.14405632766904708,0.2780633297292834,0.7909114524710166,0.6553551026079949,0.49410929680554005,0.6434682336863005,0.9899892777498508
C00000007,ASESOR COMERCIAL FUNCIONARIO,1,0,0.0757770361657131,si,0.0100381438969765,0.00148263465565007,no,no,-0.000645444829525163,si,0.0678765867915207,18,malo,malo,0.221226016620446,35,U,Femenino,Casado,Casado,0.694513494318182,malo,140,NO,0.22102748043796927,0.44268335169499284,0.04270856313309457,0.8453057810436938,0.0731246729834335,0.38708880275559676,0.8367888468189486,0.34053246968665596,0.8910329195903329,0.5774378869548512,0.07003930441595974,0.6795658103671098,0.806650864021192,0.5413763214449294,0.3741204125225064,0.27679025287399395,0.898584331438835,0.3535948795659166,0.07219377202136901,0.21050555201367893,0.8769277562407596,0.7080681050411706,0.4341501265322518,0.8625045711484737,0.3067406457735119,0.9518280605939293,0.37363391050495554,0.9878500786981786,0.45762365074531164,0.8695022239684285
C00000008,ASESOR COMERCIAL FUNCIONARIO,0,0,0.461129165112672,no,0.0,0.0,no,no,-0.00996497486901082,si,0.0653371852985163,29,bueno,bueno,8.50221916010499,41,U,Masculino,Soltero,M_Soltero,1.22,bueno,104,NO,0.13755460159189503,0.7877413907731798,0.15543234089578484,0.2781631652278822,0.12005903262697093,0.6728109532804707,0.5608057888697605,0.9621641461027923,0.35238191794248264,0.862903846441518,0.6542653577936474,0.7191779813845738,0.991307144045152,0.3497627370734512,0.464475834100158,0.4787819823345639,0.4851563423474856,0.42466059024745906,0.8621732359998614,0.5374383188690274,0.17271622919146457,0.4652975565414933,0.8414210240720819,0.04774009870600526,0.3108257589295784,0.035024639151981174,0.3123230547999094,0.6268771174498333,0.6173977988542191,0.04955343753593233
C00000009,ASESOR COMERCIAL JUNIOR 2,1,0,0.362351742031134,si,0.0166852057842047,0.011728248341023,si,si,0.0311427906054534,no,0.0,16,bueno,bueno,0.972283903881645,41,U,Masculino,Otros,otros,0.68,malo,104,NO,0.11308165149312321,0.21781111031598122,0.5703581068561991,0.05931349292818888,0.7942394274643636,0.42582127530974123,0.9769640000183469,0.07450390035842658,0.6351641698691514,0.31506531995076736,0.7234105989651302,0.9820182683177535,0.01862779952009852,0.15242387432966398,0.4200825695045336,0.2981337415516958,0.28737404199548333,0.9842005925164851,0.21984167085827666,0.08939187930075754,0.7861792045368456,0.16866378018158656,0.8999187755391155,0.6045139825048632,0.14067160921962663,0.03513513247078193,0.666562227715571,0.1423995981861973,0.45110757236453536,0.01438016113258933
C00000010,ASESOR COMERCIAL SENIOR,1,2,0.221843901132328,no,0.0,0.0,no,no,0.0084423465321604,si,0.0499331052352949,23,malo,bueno,3.24526655163322,42,U,Masculino,Soltero,M_Soltero,0.793103448275862,bueno,104,NO,0.8727256311418262,0.1967520824430411,0.7180906029491255,0.3075643665371105,0.9413588679688092,0.25973631115165796,0.21743308204911227,0.5675476694407038,0.105542603253035,0.6490252527556405,0.19803127925062325,0.9285923651254311,0.6019559579243674,0.8512214377535676,0.09691676715429731,0.7293814177145663,0.9483553830522534,0.8279012859192244,0.028293256402892264,0.23152898792271814,0.2113513699309265,0.9063329206705596,0.391022299457365,0.590105487314719,0.5012350324056394,0.1874162483053875,0.20448146291327696,0.7308665838907067,0.9851681138151008,0.49698932876804447
C00000011,ASESOR COMERCIAL JUNIOR 1,0,1,0.284316800911157,no,0.0,0.0,no,no,-0.00948068030641407,si,0.103537346335433,19,malo,bueno,0.0,49,U,Femenino,Soltero,F_Soltero,0.95,bueno,112,NO,0.8323467935106726,0.06441265011575203,0.3865030669439299,0.9155060259150197,0.5853834468860455,0.7069814455406299,0.2598225858348906,0.4758639618895453,0.8134995245589213,0.0701439983097556,0.3115766476051508,0.9670387477939667,0.2574887256476822,0.7356705530540054,0.5050406348246659,0.7552172731995325,0.12756210992628703,0.7829117701808838,0.942279551265791,0.6999250988478055,0.4314421741101957,0.06863297214814013,0.15431454304935455,0.09887097790806731,0.7580722266180319,0.678674091810604,0.6125533785141978,0.5312089097465373,0.010137483629833466,0.06378717205921047
