nEntidades_competencia,nDesem_ult_semana,cero_cuotas,nPorcentaje_cero_cuotas_ope,nPorcentaje_sal_cero_cuo,Amonestacion,nAmonestacion_suspension,nvarsaldocapital,herencia,nporcentaje_Herencia,nOperaciones,nRatio_crec_deuda,Edad,nProductividad_dic,antiguedad,ingresoef,pregunta_1,pregunta_2,pregunta_3,pregunta_4,pregunta_5,pregunta_6,pregunta_7,pregunta_8,pregunta_9,pregunta_10,pregunta_11,pregunta_12,pregunta_13,pregunta_14,pregunta_15,pregunta_16,pregunta_17,pregunta_18,pregunta_19,pregunta_20,pregunta_21,pregunta_22,pregunta_23,pregunta_24,pregunta_25,pregunta_26,pregunta_27,pregunta_28,pregunta_29,pregunta_30,D__ASESOR COMERCIAL FUNCIONARIO,D__ASESOR COMERCIAL JUNIOR 1,D__ASESOR COMERCIAL JUNIOR 2,D__ASESOR COMERCIAL MASTER,D__ASESOR COMERCIAL SENIOR,D__Femenino,D__Masculino,D__Casado,D__Otros,D__Soltero,D__R,D__U,cluster
1,0.256353795501721,1,0.0,0.0,0,0,0.0135610129408123,1,0.380552319781535,20,0.88067685448439,36,1,116,0,0.2104328860258772,0.014503174211020875,0.5807067806092486,0.4754606956479789,0.19199048898795207,0.20815732877514947,0.0076264113694758376,0.8534588800811088,0.7678005787226351,0.6636503021139826,0.9529959206719568,0.4220855308392183,0.8098016003293566,0.8476745203932584,0.27796677562460914,0.4456968211498131,0.4851779288926358,0.7548651990864552,0.4284403715903857,0.8409237575747799,0.1554401658113581,0.9333870634204872,0.3527603473611297,0.5543335000733959,0.2405805347581608,0.7087084239331922,0.20799718317214888,0.5247952430861759,0.9966611923065468,0.8562835674671211,1,0,0,0,0,0,1,0,0,1,0,1,-1
0,0.406922132678657,1,0.00196850393700787,0.00014132454199712,0,0,0.0428658641137106,1,0.444053919661975,24,2.06151203263729,46,1,16,0,0.7890443978603788,0.34300131200993544,0.05820749359866718,0.9260259377535454,0.8715002901391964,0.9399683963922082,0.928999922832728,0.118790914151909,0.01426036314096679,0.6632774658451419,0.8086062438800071,0.6548542747452397,0.16423381195623632,0.0965115370450118,0.9611738527045366,0.018306587471926483,0.9117062111283988,0.7088736898704362,0.3710955797767613,0.38178307499402375,0.7793811428557104,0.9294191627251808,0.06909025310714767,0.2962346752284749,0.7817983136244454,0.28340526046015657,0.10635491530674368,0.6490869148564812,0.8704443671890684,0.9538635578902092,0,0,0,1,0,1,0,0,1,0,0,1,-1
5,0.32191145984981,1,0.0,0.0,0,0,-0.00580066329407357,1,0.0206124556117422,22,0.6688915188082359,58,1,140,0,0.24283811586124385,0.5289687937656777,0.7164951171054434,0.4894884878209746,0.28680652463094003,0.5287508185304548,0.5012229272881386,0.03659798839314321,0.3886205079286621,0.10892765995743336,0.8712129022782933,0.1349241844556225,0.05243648221283237,0.5916812979827356,0.4891135391645981,0.4789076458912325,0.8273810203929598,0.9077971863931912,0.3599090855683436,0.8692840622147869,0.4445179764396734,0.6633854903550088,0.10252706007075564,0.8670335343401555,0.3561405576413488,0.8067368611020305,0.2721910788638695,0.8894854962032334,0.5919028802711971,0.6145295181623659,0,0,0,1,0,1,0,1,0,0,0,1,-1
3,0.294113527681626,1,0.008791251255893041,0.0154524851600807,0,0,0.0181105792881852,1,0.300312715603968,26,0.72276663452928,34,1,10,0,0.7618302248860451,0.4948116129141234,0.3213905394926833,0.52419731237624,0.6453029264691408,0.03589275060038222,0.9093518974567376,0.005752943284927814,0.6029784598780151,0.4876323558151778,0.3854272965137695,0.7019042824267498,0.9337762753328042,0.494227691065307,0.6789510223114027,0.3306927266424405,0.6035475049593629,0.337379404900214,0.040842594661725684,0.7061970327913917,0.9294613866482918,0.9928350541039316,0.045156928372469096,0.24914709030740545,0.4628221414736624,0.5545949691024135,0.9994516868508724,0.4747105195290458,0.3500488430485416,0.9822067831154994,1,0,0,0,0,1,0,0,0,1,0,1,0
2,0.315330596147563,0,0.0,0.0,0,0,0.00486467507678927,1,0.151475360014677,26,0.0,36,1,119,0,0.9454183157077549,0.8332041082545041,0.6019209316059911,0.8579948180482415,0.9261107781183202,0.9138151046330948,0.6097262321151691,0.9908921191553668,0.3836250830972596,0.9032629796908715,0.620596479143838,0.24764268575441215,0.829599849268888,0.5196803739486447,0.8012215009458454,0.7675201326838155,0.11233958864732196,0.11032089477675078,0.4487569431515945,0.8397255034017641,0.3862673312140332,0.5952189256777878,0.9051475086321548,0.003361642680957955,0.8238337947527891,0.6841742031715721,0.45914768178222604,0.8220552982289239,0.0987484719047057,0.12137550423225818,1,0,0,0,0,1,0,0,0,1,0,1,1
5,0.35164489301345603,1,0.00447429532351057,0.0012602407725604099,0,0,0.0199092761819507,1,0.40201048832009395,21,1.3115110345819398,43,1,113,0,0.4697959609837997,0.8743468234983327,0.6139856206911816,0.9752136397241264,0.4342957767294515,0.9762128783681694,0.5653992363405866,0.018879985430311552,0.2303655835500267,0.9352613457964032,0.19673957334463252,0.9782484141840699,0.7793766556167852,0.7351984669691959,0.9165996566760768,0.5191792584761206,0.472982355614625,0.3001829615937984,0.03817553526259432,0.4492081955651021,0.5765447874640411,0.4798386371056062,0.10217305293102652,0.14405632766904708,0.2780633297292834,0.7909114524710166,0.6553551026079949,0.4941092968055401,0.6434682336863005,0.9899892777498508,0,0,0,1,0,1,0,0,0,1,0,1,1
0,0.0757770361657131,1,0.0100381438969765,0.0014826346556500699,0,0,-0.000645444829525163,1,0.0678765867915207,18,0.221226016620446,35,0,140,0,0.22102748043796927,0.4426833516949928,0.04270856313309457,0.8453057810436938,0.0731246729834335,0.3870888027555968,0.8367888468189486,0.340532469686656,0.8910329195903329,0.5774378869548512,0.07003930441595974,0.6795658103671098,0.806650864021192,0.5413763214449294,0.3741204125225064,0.27679025287399395,0.898584331438835,0.3535948795659166,0.07219377202136901,0.21050555201367893,0.8769277562407596,0.7080681050411706,0.4341501265322518,0.8625045711484737,0.3067406457735119,0.9518280605939292,0.3736339105049555,0.9878500786981786,0.4576236507453117,0.8695022239684285,1,0,0,0,0,1,0,1,0,0,0,1,-1
0,0.4611291651126721,0,0.0,0.0,0,0,-0.00996497486901082,1,0.0653371852985163,29,8.50221916010499,41,1,104,0,0.13755460159189506,0.7877413907731798,0.15543234089578484,0.2781631652278822,0.12005903262697093,0.6728109532804707,0.5608057888697605,0.9621641461027924,0.35238191794248264,0.862903846441518,0.6542653577936474,0.7191779813845738,0.991307144045152,0.3497627370734512,0.46447583410015797,0.4787819823345639,0.4851563423474856,0.4246605902474591,0.8621732359998614,0.5374383188690274,0.17271622919146454,0.4652975565414933,0.8414210240720819,0.04774009870600526,0.3108257589295784,0.035024639151981174,0.3123230547999094,0.6268771174498333,0.6173977988542191,0.04955343753593233,1,0,0,0,0,0,1,0,0,1,0,1,-1
0,0.362351742031134,1,0.0166852057842047,0.011728248341023,1,1,0.0311427906054534,0,0.0,16,0.9722839038816451,41,0,104,0,0.1130816514931232,0.2178111103159812,0.5703581068561991,0.059313492928188875,0.7942394274643636,0.4258212753097412,0.9769640000183468,0.07450390035842658,0.6351641698691514,0.31506531995076736,0.7234105989651302,0.9820182683177536,0.01862779952009852,0.15242387432966398,0.4200825695045336,0.2981337415516958,0.2873740419954833,0.9842005925164852,0.21984167085827666,0.08939187930075754,0.7861792045368456,0.16866378018158654,0.8999187755391155,0.6045139825048632,0.14067160921962665,0.035135132470781934,0.666562227715571,0.1423995981861973,0.4511075723645354,0.01438016113258933,0,0,1,0,0,0,1,0,1,0,0,1,-1
2,0.221843901132328,0,0.0,0.0,0,0,0.0084423465321604,1,0.0499331052352949,23,3.2452665516332204,42,1,104,0,0.8727256311418262,0.1967520824430411,0.7180906029491255,0.3075643665371105,0.9413588679688092,0.259736311151658,0.21743308204911227,0.5675476694407038,0.10554260325303501,0.6490252527556405,0.19803127925062325,0.9285923651254312,0.6019559579243674,0.8512214377535676,0.09691676715429733,0.7293814177145663,0.9483553830522534,0.8279012859192244,0.028293256402892264,0.2315289879227181,0.2113513699309265,0.9063329206705596,0.391022299457365,0.590105487314719,0.5012350324056394,0.1874162483053875,0.20448146291327696,0.7308665838907067,0.9851681138151008,0.4969893287680445,0,0,0,0,1,0,1,0,0,1,0,1,0
