,extra_trees,random_forest,lightgbm,score
nOperaciones,0.4284731987010999,0.4267760832482851,0.782943412616717,good
nporcentaje_Herencia,0.2229164062544745,0.3039906946073486,0.4700261544761564,good
D__ASESOR COMERCIAL SENIOR,0.2791786053453964,0.227824469798584,0.26685550836023203,good
D__ASESOR COMERCIAL JUNIOR 1,0.3140636277214137,0.1815530859284698,0.22684914313730775,good
D__R,0.2873473824228565,0.20836176184852903,0.22202373480759618,good
antiguedad,0.15541126969232724,0.28509086287842766,0.26819862917891096,good
nProductividad_dic,0.2882768002728184,0.19887918175942965,0.2212556609488124,good
D__ASESOR COMERCIAL MASTER,0.2853626303465847,0.2325410067642418,0.18898194460673723,good
herencia,0.299736913991192,0.20160609406531554,0.20526722652023044,good
cluster,0.23364312837013582,0.2383820335305568,0.23040198895127906,good
D__Masculino,0.2899817546531462,0.19690788356646716,0.2136454806639133,good
D__ASESOR COMERCIAL FUNCIONARIO,0.26320184066596414,0.2314797896813938,0.201078099448389,good
Amonestacion,0.2772210234324097,0.22109519576995545,0.19688897237654757,uncertain
D__Soltero,0.2445774661826745,0.2198662764839608,0.21783460773575475,uncertain
ingresoef,0.2871193470734382,0.2251975667927178,0.16756508287365748,uncertain
D__Casado,0.2748777985748987,0.2123813106947605,0.1885107182328647,uncertain
D__Otros,0.26423693757406147,0.22696307660401305,0.18432159116102326,uncertain
cero_cuotas,0.3189282670172997,0.18088612594647432,0.17175420994549895,uncertain
nAmonestacion_suspension,0.28918482660262834,0.18324639050570155,0.19269984530470613,uncertain
nPorcentaje_cero_cuotas_ope,0.27023316029881195,0.21878227390399385,0.16974683585405884,uncertain
D__ASESOR COMERCIAL JUNIOR 2,0.276494955289123,0.1937642181069545,0.1846703489389458,uncertain
D__U,0.23399796601721415,0.19213277638967577,0.22621286187943762,uncertain
nDesem_ult_semana,0.26050408637525085,0.2500944208352294,0.13399083200095102,uncertain
pregunta_7,0.2429249167721978,0.2717073820421822,0.12537696467033188,uncertain
D__Femenino,0.2607849381480179,0.1911061498721984,0.17594333701734038,uncertain
nPorcentaje_sal_cero_cuo,0.2390399060230794,0.22469314918870276,0.16337595580181605,uncertain
pregunta_12,0.2543623960211325,0.22356813034775083,0.14243032044260887,uncertain
Edad,0.21961944401554345,0.23145468581162199,0.1529903275666931,uncertain
pregunta_4,0.19743059533448892,0.2560208522295482,0.1416622465838251,uncertain
pregunta_13,0.20457862769485624,0.26370715924587906,0.11888361602213912,uncertain
pregunta_10,0.19181328975602735,0.25088931442930895,0.12454765651357311,uncertain
pregunta_14,0.21520292464668314,0.2518032332873267,0.09445569315189928,uncertain
pregunta_17,0.17482349795737562,0.2288294934245535,0.1466194475144503,uncertain
pregunta_9,0.2539809498590823,0.24002952820180523,0.05587233105555627,uncertain
pregunta_1,0.24337808322165336,0.18167751082786993,0.12195591145727422,uncertain
pregunta_24,0.24452678482748258,0.15498108257742782,0.13941925930544874,uncertain
nEntidades_competencia,0.17253026937891486,0.21479492329643804,0.1473262870752591,uncertain
pregunta_20,0.1841769208355693,0.19518499522924682,0.15080857458629174,uncertain
nvarsaldocapital,0.13855334679332018,0.21663752947146084,0.16560961907522875,uncertain
pregunta_27,0.1644136448859019,0.2341566077007594,0.1182380107593053,uncertain
pregunta_26,0.21984146194480156,0.2158749925680622,0.07386813957557833,uncertain
pregunta_15,0.2300713953070311,0.2534029709244866,0.024837914946137376,uncertain
pregunta_19,0.19899489377498525,0.14894835312021515,0.15835752057321587,uncertain
nRatio_crec_deuda,0.20201379280738269,0.18701344174612267,0.111334670035215,uncertain
pregunta_3,0.19634370642591492,0.1970000364283397,0.09977097586541073,uncertain
pregunta_30,0.15273112990481497,0.1686842719712811,0.16684891930788504,uncertain
pregunta_11,0.25628190749376223,0.1792397233040197,0.050915130124931055,uncertain
pregunta_16,0.22584611415995337,0.18974477901623849,0.06991462569067315,uncertain
pregunta_6,0.2255955121444094,0.16145843327540926,0.09321639291924297,uncertain
pregunta_22,0.17635661092469643,0.16574862884011932,0.13652134275927494,uncertain
pregunta_18,0.1648861862856174,0.1824411165969267,0.12437327762461184,uncertain
pregunta_5,0.14568416388368127,0.15559187227576465,0.1633666317968524,uncertain
pregunta_21,0.15363537063896282,0.18827900891065458,0.1164050155568265,uncertain
pregunta_2,0.17651620475393734,0.21295664591020386,0.0506795169379948,bad
pregunta_28,0.2346838430342324,0.19481150509768197,0.007138953911026572,bad
pregunta_8,0.13592392772894044,0.17977181647549123,0.12089099011357918,bad
pregunta_25,0.17969484533399604,0.21063269719789196,0.03498792999432407,bad
pregunta_23,0.15031939010193482,0.15013569059536735,0.08885288695844026,bad
pregunta_29,0.1605884498957799,0.16343947397920972,0.05581109675758129,bad
