,extra_trees,random_forest,lightgbm,score
nOperaciones,0.4266799571803769,0.4345790540311598,0.7856666178767862,good
nporcentaje_Herencia,0.22285136487685928,0.30111719169758727,0.416732270855283,good
D__ASESOR COMERCIAL JUNIOR 1,0.31283406430983,0.1824508488526549,0.2551310896256178,good
D__ASESOR COMERCIAL SENIOR,0.2797770536336418,0.22713675149844245,0.23765485547063503,good
D__R,0.28672500104984516,0.20767646452429603,0.22202373480759618,good
herencia,0.3005649187592635,0.20249740890095563,0.20526722652023044,good
D__Masculino,0.2939715204945577,0.19736581364566808,0.2136454806639133,good
D__ASESOR COMERCIAL MASTER,0.2842636994883196,0.2325040751503841,0.18813940559333084,good
cluster,0.23423894116663446,0.23670775503593006,0.23040198895127906,good
Amonestacion,0.27692528813437944,0.22224791063318175,0.19688897237654757,good
D__ASESOR COMERCIAL FUNCIONARIO,0.2620627293414693,0.2318264115232204,0.201078099448389,good
nProductividad_dic,0.29263011734100564,0.1910452937106661,0.20945635359207188,good
ingresoef,0.2871919325336403,0.22524511480592813,0.16756508287365748,uncertain
D__Soltero,0.2438428627536403,0.2167339574639807,0.21783460773575475,uncertain
D__Otros,0.26626953583187796,0.22723070840771203,0.18432159116102326,uncertain
antiguedad,0.15680195006916553,0.28527323234750224,0.2347890423913333,uncertain
D__Casado,0.27338450376917145,0.212882484984447,0.1885107182328647,uncertain
cero_cuotas,0.3177969485205091,0.17900462300043102,0.17655837484798836,uncertain
nPorcentaje_cero_cuotas_ope,0.2735796812499228,0.21872049845763708,0.17901852617058023,uncertain
nAmonestacion_suspension,0.2883044730667723,0.1816462908836069,0.19269984530470613,uncertain
D__U,0.2342467042686498,0.19279116018350975,0.22621286187943762,uncertain
nDesem_ult_semana,0.259777912950672,0.25300602435474906,0.13774229328281384,uncertain
D__ASESOR COMERCIAL JUNIOR 2,0.2755864150040308,0.19586353808236182,0.17211407287930747,uncertain
pregunta_7,0.24258780609991307,0.2663231042952511,0.1335531662109724,uncertain
nPorcentaje_sal_cero_cuo,0.2396773265146427,0.2263555854023063,0.16337595580181605,uncertain
D__Femenino,0.26051124541294807,0.1890132831618119,0.17594333701734038,uncertain
pregunta_12,0.25668949069314484,0.22320114429567292,0.14403170874343868,uncertain
Edad,0.21949812986257417,0.23277285601177666,0.15905924128155488,uncertain
pregunta_4,0.19783111419308208,0.2580837858056399,0.13306571582874416,uncertain
pregunta_13,0.20251239894436962,0.2572296145327587,0.12208827320832433,uncertain
pregunta_17,0.17400450295587605,0.2369809050346801,0.15302500071776953,uncertain
pregunta_9,0.2531292545194256,0.24857769273566155,0.061351655519486153,uncertain
pregunta_14,0.21772487875851,0.24396549765726364,0.10040001257004944,uncertain
nvarsaldocapital,0.13805218126267685,0.20995362438472945,0.21053594239349743,uncertain
pregunta_10,0.1931577135496711,0.24807560309766688,0.11186490557269752,uncertain
pregunta_11,0.2566148437962948,0.17805919188752753,0.11185345586697219,uncertain
nEntidades_competencia,0.17503122481001862,0.21465503141961167,0.15647150251054326,uncertain
pregunta_27,0.1623879159181768,0.2412952374613657,0.14217514554576943,uncertain
pregunta_26,0.22127419305335,0.21529722385816313,0.10631811539114042,uncertain
pregunta_15,0.23276307184661815,0.25031804805584684,0.058636329300054794,uncertain
pregunta_1,0.2451059236058064,0.17921366901016117,0.11470781924054861,uncertain
pregunta_19,0.19787554967690613,0.15073377661870485,0.18714160541742367,uncertain
pregunta_20,0.1834782081627674,0.2013397121854123,0.15080857458629174,uncertain
pregunta_30,0.15122526912676829,0.16584946706926706,0.21632645776616866,uncertain
pregunta_24,0.24167136477670398,0.14753907944185363,0.1349108293206881,uncertain
pregunta_5,0.14485461663935684,0.15832303897112845,0.20117133777963275,uncertain
nRatio_crec_deuda,0.20255627204333354,0.1887157079899304,0.11137745519046928,uncertain
pregunta_3,0.19729361157572223,0.19578154188645147,0.09918138661447883,uncertain
pregunta_18,0.16089465264426747,0.18737765109348303,0.12997907696977895,uncertain
pregunta_22,0.1757882462898223,0.16453077151166973,0.1305826650947016,uncertain
pregunta_16,0.22471501193308246,0.1824910067700826,0.06110793032837203,uncertain
pregunta_6,0.2266281593516826,0.16162368217397385,0.07699422588825035,uncertain
pregunta_2,0.17604555732777494,0.20814184885674542,0.07600787541806851,uncertain
pregunta_21,0.15581813577433193,0.17880528395677958,0.10890585416215204,bad
pregunta_29,0.16270053971955975,0.1641836977247525,0.11148214322743834,bad
pregunta_28,0.23428304857524235,0.19578931334354455,0.0057905153726712415,bad
pregunta_8,0.13666438965496389,0.18444409492152986,0.11162118038158339,bad
pregunta_25,0.17812812698278602,0.21465924794746769,0.035114404875561306,bad
pregunta_23,0.14954069899442818,0.15217192299624538,0.08451371701017113,bad
