,extra_trees,random_forest,lightgbm,score
cero_cuotas,0.9283392659092279,0.3021573423909137,0.22850009356390902,good_uncertain
antiguedad,0.27614997421306975,0.6616568849818019,0.3379351050623831,good_uncertain
nvarsaldocapital,0.1548128548474742,0.5078191817471975,0.3626317886540763,good_uncertain
D__ASESOR COMERCIAL JUNIOR 2,0.4408030880648313,0.2344108478761034,0.24560646117784302,good_uncertain
cluster,0.3268212145201952,0.26876169459621413,0.27551426684251695,good_uncertain
ingresoef,0.37836109762131337,0.2537631405128446,0.2320120141831722,good_uncertain
D__Casado,0.36794182239472717,0.23938567327299942,0.2537631405128446,good_uncertain
nPorcentaje_cero_cuotas_ope,0.26844860371659574,0.3417583272414426,0.24424692180368382,good_uncertain
D__Otros,0.3577003457929352,0.24773939242570445,0.24651276506962044,good_uncertain
nPorcentaje_sal_cero_cuo,0.2698410671256035,0.31388769446149245,0.2639589061451035,uncertain
pregunta_30,0.3294648710334239,0.25453490917610033,0.2509307668166796,uncertain
D__Soltero,0.2688189667754808,0.25398442258500564,0.2610135159560687,uncertain
D__U,0.2931582227041808,0.21997917334615308,0.2706429182310854,uncertain
nAmonestacion_suspension,0.2702665657814485,0.26826389139929285,0.22476163873994806,uncertain
D__Femenino,0.2609049347478511,0.2801036753924371,0.2214763080163781,uncertain
pregunta_10,0.278053818536718,0.23002691802808534,0.23257826615842372,uncertain
pregunta_18,0.25363247742403866,0.17693882608493472,0.3095002451017056,uncertain
pregunta_2,0.2191551932588921,0.16955008741419916,0.3353296554078834,uncertain
pregunta_11,0.2558755960812444,0.25491375266258487,0.207088629313795,uncertain
pregunta_6,0.290828455903292,0.17051693687841565,0.2514972415559126,uncertain
Edad,0.15388028496850026,0.24883147878476658,0.2815183978594285,uncertain
pregunta_27,0.18411952992702285,0.1370381330718608,0.35810038057717986,uncertain
pregunta_12,0.18896311779408714,0.22667470156972075,0.24639930304878777,uncertain
nEntidades_competencia,0.1837583461221367,0.23782043330016417,0.2345042802718159,uncertain
pregunta_1,0.19363555541413746,0.21513315835761884,0.24096153538911852,uncertain
nRatio_crec_deuda,0.17939660636085442,0.21858128183794276,0.23948875675810807,uncertain
pregunta_14,0.17933526710105074,0.18848448471292362,0.2503642920774466,uncertain
pregunta_26,0.08657434549779594,0.21317097980507177,0.3143715937131373,uncertain
pregunta_15,0.22272617241312018,0.20419550744223244,0.17854030733228488,uncertain
pregunta_5,0.1997793924394781,0.16735123949728994,0.2284998707999276,uncertain
pregunta_22,0.13124292367074222,0.18334627651396887,0.276873472070704,uncertain
pregunta_17,0.193374782929091,0.22404491467839294,0.16766477201294636,uncertain
pregunta_3,0.14227937320536693,0.15792803012117873,0.27789312660132337,uncertain
nDesem_ult_semana,0.12089306869507294,0.24509250687756357,0.20550261142593332,uncertain
pregunta_20,0.22344284999045855,0.1437777250038909,0.19813899672585797,uncertain
pregunta_13,0.10367680040142016,0.2137610148847685,0.22544112997205085,uncertain
pregunta_19,0.17705045489544283,0.06940007299293954,0.290694508961068,uncertain
pregunta_4,0.13826425697536748,0.10812524997567789,0.29035473549951896,bad_uncertain
pregunta_9,0.12348641435211462,0.14913113503154926,0.2518371263994524,bad_uncertain
pregunta_24,0.1268554185606906,0.08029594120832856,0.3106330831981809,bad_uncertain
pregunta_16,0.07930178843657072,0.1315147622515784,0.30689457268322456,bad_uncertain
pregunta_7,0.14097532239750987,0.11529194825234987,0.18522426372727135,bad_uncertain
